District,Crop,Soil Type,Rainfall_mm,Temperature_C,Soil_pH,Humidity_%
Bidar,Oilseeds,Black Soil,675,29.407140982641685,6.248725393790624,58
Dharwad,Maize,Laterite,866,26.85329223820694,6.709127191485937,70
Tumkur,Ragi,Red Sandy Loam,651,23.825327310007246,6.2400178001582125,67
Kodagu,Arecanut,Laterite,1852,26.830424630750027,5.99334158805238,80
Shimoga,Arecanut,Laterite,1395,25.06784898060034,5.6522282139168665,78
Dharwad,Cotton,Black Soil,964,29.457298209028693,7.254177923317564,67
Gulbarga,Pulses,Red Sandy Loam,662,28.636247207672994,6.78397185050559,74
Udupi,Paddy,Black Soil,925,32.394941519154855,5.6174905827238275,67
Belagavi,Maize,Laterite,713,23.641497143238457,6.487082544323578,62
Bidar,Cotton,Black Soil,704,34.29870482293879,6.725695344874195,67
Mandya,Paddy,Black Soil,813,29.003208153668883,6.105964424954625,80
Kodagu,Pepper,Laterite,1371,24.619490330450947,5.950695463989093,84
Hassan,Pepper,Laterite,1271,24.985396500332357,5.232264022430341,72
Hassan,Coffee,Red Sandy Loam,1827,21.459497333732024,5.934758636798281,84
Bidar,Pulses,Red Sandy Loam,692,23.826251302531013,6.573975175031742,50
Mandya,Paddy,Black Soil,902,27.02048319816811,6.647659887449697,79
Raichur,Cotton,Black Soil,979,25.3294786824553,6.8851911088898134,60
Udupi,Coconut,Laterite,2238,24.303807740556852,6.49459418722194,78
Belagavi,Maize,Laterite,716,22.345362326903533,6.3096007450855005,59
Gulbarga,Pulses,Red Sandy Loam,809,28.542299779998743,6.2754299036394725,55
Bellary,Cotton,Black Soil,974,31.13401846522171,6.39250704995626,56
Dharwad,Maize,Laterite,965,26.224379592030395,6.969441469132256,59
Hassan,Pepper,Laterite,1953,26.13040774425614,5.237678660271144,74
Bellary,Maize,Laterite,1092,22.086387139116095,6.701011267095041,67
Raichur,Cotton,Black Soil,817,29.81994917732867,6.105691016500438,66
Tumkur,Pulses,Red Sandy Loam,962,29.52335177977885,6.9115912278061264,57
Mysore,Sugarcane,Red Loamy,1258,30.111705570604943,6.007618219463591,70
Tumkur,Ragi,Red Sandy Loam,864,29.872951070609897,6.236253947960462,52
Chikkamagalur,Coffee,Red Sandy Loam,2288,24.197383497454386,5.397224482667478,78
Chikkamagalur,Pepper,Laterite,1295,23.3143550383593,5.664559964952741,70
Belagavi,Sugarcane,Red Loamy,1124,25.914070902011712,6.420791732783101,61
Kodagu,Pepper,Laterite,1858,25.10994353823894,5.692709722343028,73
Tumkur,Ragi,Red Sandy Loam,625,28.916330732656668,5.999566463375933,68
Tumkur,Groundnut,Red Sandy Loam,783,25.056281415119965,6.756233589816214,62
Udupi,Arecanut,Laterite,1986,28.461914345605717,5.856390499299904,77
Dharwad,Maize,Laterite,855,27.22081612172352,6.456099526662592,58
Dharwad,Maize,Laterite,972,29.851580763433034,6.134747265130907,58
Dharwad,Maize,Laterite,1178,25.770931875262747,6.175783815830382,71
Mysore,Sugarcane,Red Loamy,1099,28.479124254766283,6.729607553304267,60
Raichur,Pulses,Red Sandy Loam,986,27.417603199410152,6.131079861704703,68
Kodagu,Pepper,Laterite,1313,26.405859933898647,5.953909365112151,76
Dharwad,Cotton,Black Soil,933,34.15083333358075,6.440022940005134,54
Hassan,Pepper,Laterite,1398,26.561869906626544,5.630499964147764,76
Bellary,Pulses,Red Sandy Loam,622,24.67209895486074,6.509113385187522,55
Tumkur,Groundnut,Red Sandy Loam,802,24.859314603489775,6.101163811517541,56
Udupi,Arecanut,Laterite,1960,29.787154331488345,5.938684702899794,81
Raichur,Cotton,Black Soil,941,27.551822287742308,7.287705378897394,59
Belagavi,Maize,Laterite,745,24.74539085765827,6.561584360966908,55
Raichur,Pulses,Red Sandy Loam,723,24.846877615442715,6.887608329493955,74
Chikkamagalur,Arecanut,Laterite,1981,27.29521261177543,5.934048868478181,77
Gulbarga,Jowar,Black Soil,855,28.25546382042233,6.426767939613666,55
Gulbarga,Jowar,Black Soil,666,30.902166219673806,6.244353981716091,53
Raichur,Paddy,Black Soil,1105,32.36466809463186,6.442634243376509,81
Belagavi,Sugarcane,Red Loamy,1117,29.762985701857623,6.666719966966687,70
Udupi,Coconut,Laterite,1584,29.359627926873745,5.5004015440253395,77
Kodagu,Pepper,Laterite,1886,22.29137633977397,5.671930545771779,84
Dharwad,Maize,Laterite,1141,29.711328096585508,6.641579681243394,61
Dharwad,Cotton,Black Soil,936,28.01456186410668,6.141834517161582,50
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Mandya,Paddy,Black Soil,824,24.48218903646667,5.710748514693276,65
Bidar,Oilseeds,Black Soil,896,28.032560637987395,6.5448816860293935,57
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Bellary,Cotton,Black Soil,867,32.22373507632798,6.116990799614114,50
Tumkur,Ragi,Red Sandy Loam,759,26.701478003160087,6.395792872894706,68
Shimoga,Coconut,Laterite,1612,31.729805805646563,6.301619485982034,70
Shimoga,Arecanut,Laterite,1619,24.988322370514364,6.169969924096657,81
Belagavi,Cotton,Black Soil,730,32.13900933396598,6.7200277647669315,66
Koppal,Paddy,Black Soil,845,27.976641310299595,6.65603795614035,75
Hassan,Paddy,Black Soil,1436,32.75363943989297,6.410239845382875,66
Mandya,Sugarcane,Red Loamy,1113,25.86054459405463,6.911543855246412,74
Gulbarga,Jowar,Black Soil,526,29.94265021172552,6.992386598938898,61
Gulbarga,Jowar,Black Soil,531,28.429422668315468,6.28257751400231,52
Bidar,Cotton,Black Soil,645,34.92770986512734,7.175375842114326,53
Udupi,Arecanut,Laterite,1672,26.268935450473688,6.4440412782809275,73
Mysore,Sugarcane,Red Loamy,1018,27.91458197980097,6.7688643238863175,62
Tumkur,Pulses,Red Sandy Loam,716,29.06642521748934,6.940639999186114,54
Gulbarga,Pulses,Red Sandy Loam,634,26.962951255006395,6.544461332149169,74
Belagavi,Sugarcane,Red Loamy,1021,25.408661064253728,7.075077878651463,60
Shimoga,Coconut,Laterite,1879,26.985658952841014,5.993247493025986,82
Udupi,Paddy,Black Soil,1263,32.108169572402915,6.511280423244421,76
Bellary,Maize,Laterite,825,26.833391505380735,6.120960662238493,61
Bellary,Maize,Laterite,857,25.222284272371958,6.588810270156223,63
Chikkamagalur,Coffee,Red Sandy Loam,2065,19.398293720361263,6.480650128886175,76
Koppal,Maize,Laterite,941,24.603346245460862,6.094738914779344,70
Udupi,Paddy,Black Soil,1183,30.496203793948705,5.620134264506742,80
Gulbarga,Cotton,Black Soil,646,30.59993671463558,7.108392444196433,65
Chikkamagalur,Coffee,Red Sandy Loam,1622,18.147047918201935,6.034457779488359,78
Koppal,Paddy,Black Soil,1406,25.354901292560022,6.203560069998945,69
Udupi,Arecanut,Laterite,2387,25.96552616182971,5.832734153983855,78
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Dharwad,Paddy,Black Soil,1356,26.28732552115033,6.737702313492129,84
Koppal,Pulses,Red Sandy Loam,666,23.818084656669498,6.08591038820282,59
Bellary,Maize,Laterite,1024,23.504125737570313,6.653136733291856,74
Chikkamagalur,Coffee,Red Sandy Loam,1759,22.217187053002117,6.101341701779125,79
Kodagu,Pepper,Laterite,1383,26.217950356880916,5.324188997523144,74
Dharwad,Paddy,Black Soil,1370,24.207423795659466,6.845119824861617,69
Chikkamagalur,Coffee,Red Sandy Loam,2100,20.236811461161054,5.191112107543144,79
Dharwad,Maize,Laterite,969,28.028881051823898,6.955639461723422,70
Chikkamagalur,Pepper,Laterite,1432,23.536127038369077,5.9762419257339925,80
Kodagu,Coffee,Red Sandy Loam,1781,21.497184840360276,5.401810374226161,77
Udupi,Paddy,Black Soil,1340,32.99014229786769,6.4116441531151365,65
Belagavi,Maize,Laterite,846,29.97037443396181,6.8455511954969,71
Tumkur,Groundnut,Red Sandy Loam,741,31.211574636307034,6.55742927926432,55
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Chikkamagalur,Arecanut,Laterite,1996,24.68928206195616,5.808469212582686,84
Tumkur,Pulses,Red Sandy Loam,952,26.97167280717686,6.667415530533831,59
Tumkur,Groundnut,Red Sandy Loam,676,27.57391620249114,6.342966519700078,51
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Hassan,Coffee,Red Sandy Loam,2491,19.996997635284668,6.316569441045409,77
Bidar,Oilseeds,Black Soil,660,30.45982348521527,6.109355903109479,62
Raichur,Pulses,Red Sandy Loam,885,24.717075188540928,6.212726966130273,70
Hassan,Coffee,Red Sandy Loam,2464,24.93663997726739,6.429009299748613,84
Belagavi,Cotton,Black Soil,720,26.297829657226114,6.835227540417462,50
Belagavi,Sugarcane,Red Loamy,953,31.069867110651096,6.842216915605015,67
Belagavi,Maize,Laterite,872,22.180548665619018,6.112858144712762,72
Gulbarga,Jowar,Black Soil,541,25.91368870427375,7.180463699071801,52
Shimoga,Coconut,Laterite,2441,28.046473780738637,6.060348674350323,77
Koppal,Maize,Laterite,1080,26.90147475739686,6.585375422790956,63
Raichur,Cotton,Black Soil,798,27.722405425060447,6.576241136930194,64
Mysore,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Mandya,Sugarcane,Red Loamy,1066,25.565968236385324,7.2401136428637844,64
Tumkur,Ragi,Red Sandy Loam,857,28.174263512546784,5.9179074837954095,58
Dharwad,Maize,Laterite,1025,25.67175774452279,6.238427178953484,58
Gulbarga,Jowar,Black Soil,586,31.565388296406436,6.613390853635008,53
Bellary,Cotton,Black Soil,822,27.552324343442834,7.013466095797333,62
Belagavi,Cotton,Black Soil,727,33.10603848260161,7.103281058690372,52
Bidar,Oilseeds,Black Soil,888,26.341371566075395,6.392587750361111,60
Bellary,Cotton,Black Soil,765,32.331530231065855,6.141089730342883,69
Belagavi,Cotton,Black Soil,632,32.46313812569077,6.012532056258208,53
Udupi,Paddy,Black Soil,1226,32.24978792424525,6.558244977901936,80
Chikkamagalur,Coffee,Red Sandy Loam,1777,18.01027540421441,5.180238888103433,70
Shimoga,Paddy,Black Soil,807,25.998739693880907,6.736939529201339,65
Mandya,Paddy,Black Soil,1316,30.524214719619955,6.842142980518743,82
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Mysore,Paddy,Black Soil,935,24.10601888657978,6.996134408580331,69
Hassan,Pepper,Laterite,1537,26.719155322621546,5.468815478355083,84
Koppal,Paddy,Black Soil,1030,25.69113229918575,6.437193098078088,70
Tumkur,Groundnut,Red Sandy Loam,834,26.366581748654905,6.888209193214149,55
Mysore,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Belagavi,Maize,Laterite,843,22.404774829412652,6.926279961848407,67
Bellary,Cotton,Black Soil,867,26.572356650942336,7.035934113122012,67
Bellary,Cotton,Black Soil,809,34.01177623217356,7.126003521422483,53
Raichur,Paddy,Black Soil,855,26.930230192671104,6.975395949608162,78
Chikkamagalur,Pepper,Laterite,1805,22.627167327254167,5.19312080431357,80
Mysore,Sugarcane,Red Loamy,1232,26.66152143754136,6.657447912049749,64
Raichur,Cotton,Black Soil,855,31.401938685370318,6.179832047225768,66
Tumkur,Pulses,Red Sandy Loam,975,22.200527097840084,6.89046957398389,60
Raichur,Pulses,Red Sandy Loam,792,29.53312931879257,6.716325343476028,62
Kodagu,Coffee,Red Sandy Loam,1540,23.13822530805692,5.057542332181962,77
Kodagu,Coffee,Red Sandy Loam,1568,22.00286688307512,5.536269992640856,78
Chikkamagalur,Coffee,Red Sandy Loam,2333,24.68626456683681,5.622745379906156,82
Raichur,Paddy,Black Soil,846,31.94552841610271,6.291718162443431,68
Dharwad,Cotton,Black Soil,952,34.64690478828461,6.110345031323648,57
Chikkamagalur,Pepper,Laterite,1654,25.477794749210908,5.83328760209408,72
Raichur,Cotton,Black Soil,958,27.72285660708134,6.2540947494473675,55
Bellary,Cotton,Black Soil,929,32.38351277121195,6.21228180367494,52
Belagavi,Sugarcane,Red Loamy,1042,25.01475141514078,6.692887806308603,72
Dharwad,Maize,Laterite,783,27.690126597683623,6.099985247483777,68
Udupi,Arecanut,Laterite,1981,27.558620634625008,6.295786731176502,72
Kodagu,Pepper,Laterite,1677,25.22427514266313,6.261177607908672,74
Raichur,Cotton,Black Soil,915,27.794694412296487,6.872797899757062,54
Hassan,Pepper,Laterite,1269,27.53384665290151,5.638839732555023,82
Chikkamagalur,Arecanut,Laterite,2347,29.44666291340646,5.505348988694223,75
Raichur,Cotton,Black Soil,639,25.54787047923549,6.632331372327052,66
Hassan,Pepper,Laterite,1306,26.83897567663147,5.269467973796197,80
Bellary,Cotton,Black Soil,945,28.415696329442753,7.3119086917547484,68
Shimoga,Arecanut,Laterite,1223,26.830041150700904,5.663931720953203,79
Kodagu,Arecanut,Laterite,1999,25.019100999798212,5.944755898202013,73
Shimoga,Paddy,Black Soil,1377,32.29277401388695,5.6929360906587885,76
Tumkur,Ragi,Red Sandy Loam,854,25.40285197015987,5.747206073738877,63
Mysore,Paddy,Black Soil,1244,29.424029648500547,6.33921288918452,80
Kodagu,Coffee,Red Sandy Loam,2130,25.489923102457624,6.300037022599092,76
Mandya,Paddy,Black Soil,1087,31.091378445939903,6.760600497234011,77
Kodagu,Arecanut,Laterite,2029,25.759827477262355,6.357917072243568,82
Bidar,Pulses,Red Sandy Loam,762,22.25742409747216,6.341047872830623,56
Gulbarga,Jowar,Black Soil,672,28.145746525087418,6.68325254282883,57
Belagavi,Maize,Laterite,871,22.104081707406984,6.944750080210212,68
Hassan,Pepper,Laterite,1501,27.54531060905596,5.0365864896651455,70
Udupi,Arecanut,Laterite,1643,29.63712128572985,6.103581247123063,80
Belagavi,Maize,Laterite,926,23.17515331130346,6.855822907123904,66
Hassan,Paddy,Black Soil,1280,24.34038122896832,5.6845781853854875,73
Dharwad,Maize,Laterite,874,22.922408722712394,6.106991261174623,72
Shimoga,Coconut,Laterite,2066,25.913785709326863,5.915213756684331,72
Shimoga,Arecanut,Laterite,1424,25.67601813256254,5.862509731322124,80
Shimoga,Arecanut,Laterite,2134,29.247551743410117,6.066806105010466,71
Mandya,Paddy,Black Soil,1478,30.4374037425832,6.335098461638827,67
Gulbarga,Jowar,Black Soil,766,26.68756922703147,6.841041722063521,65
Belagavi,Cotton,Black Soil,822,27.062027159017788,7.3148407361830765,64
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Bidar,Pulses,Red Sandy Loam,661,30.38549207024793,6.471083729483925,58
Gulbarga,Jowar,Black Soil,749,29.839945797159707,6.1976156994479465,64
Raichur,Pulses,Red Sandy Loam,743,22.333231994395085,6.912787385386525,58
Gulbarga,Cotton,Black Soil,832,27.500824689139417,7.254828586754421,68
Udupi,Paddy,Black Soil,1033,27.69470505916285,5.847023069800226,73
Udupi,Arecanut,Laterite,1702,22.44265909730677,5.698130741823577,82
Bellary,Cotton,Black Soil,733,28.746492190148288,6.274402981926319,67
Koppal,Pulses,Red Sandy Loam,734,27.997044134081,6.776486881315667,56
Tumkur,Groundnut,Red Sandy Loam,793,30.970117482161257,6.015447427733078,65
Belagavi,Cotton,Black Soil,603,28.88632290398839,6.623984411962862,60
Dharwad,Maize,Laterite,915,29.102541122686553,6.104660633907896,57
Kodagu,Arecanut,Laterite,2369,24.532819478619302,5.900155272865399,70
Tumkur,Groundnut,Red Sandy Loam,846,24.60161623010242,6.707783978362483,52
Shimoga,Coconut,Laterite,1580,31.861440389779474,5.899109350574729,74
Belagavi,Sugarcane,Red Loamy,996,25.769180880885546,6.403679628957016,72
Kodagu,Coffee,Red Sandy Loam,1742,20.476474412104587,5.438454569832256,76
Hassan,Pepper,Laterite,1663,27.283903464787468,5.6193667843838195,72
Kodagu,Coffee,Red Sandy Loam,2146,18.018779790939625,5.367199809502589,82
Dharwad,Paddy,Black Soil,1228,25.023857629240943,6.116440912053855,65
Hassan,Pepper,Laterite,1615,22.225313920360275,5.474007084299591,70
Belagavi,Sugarcane,Red Loamy,1028,24.846402875393117,6.942816046318292,67
Mandya,Paddy,Black Soil,1155,30.92325503317428,6.395084485159326,79
Mysore,Paddy,Black Soil,1238,25.01822343906621,6.027068450137163,70
Kodagu,Arecanut,Laterite,1439,27.12804845856561,6.4012592077965635,70
Mandya,Sugarcane,Red Loamy,1135,31.75053153186701,7.4878392859794625,69
Hassan,Pepper,Laterite,1868,24.074381513157988,5.257097468487129,79
Kodagu,Arecanut,Laterite,1749,29.150193502095558,6.029809057070054,71
Kodagu,Arecanut,Laterite,1677,23.95251208773801,6.26330761521221,73
Raichur,Pulses,Red Sandy Loam,923,30.978981047742522,6.128515668444116,72
Raichur,Cotton,Black Soil,757,31.04130628856535,7.403723436166719,54
Udupi,Coconut,Laterite,2338,26.07372267017589,5.518927640511463,79
Udupi,Arecanut,Laterite,1760,29.37381335561329,6.2574690507231026,79
Raichur,Pulses,Red Sandy Loam,726,28.154909596667192,6.753780601086415,57
Belagavi,Cotton,Black Soil,868,32.83952518097841,6.6798926587887895,57
Raichur,Pulses,Red Sandy Loam,640,28.8686649373491,6.913299711600033,60
Koppal,Maize,Laterite,1124,29.688946144173123,6.627396555315847,73
Belagavi,Sugarcane,Red Loamy,1148,29.64245314028742,7.10315489083828,77
Dharwad,Paddy,Black Soil,1020,32.91950857865179,5.6529288243704165,84
Belagavi,Maize,Laterite,701,27.548078696370563,6.039711207572247,68
Belagavi,Maize,Laterite,840,25.190572215392457,6.522126493432177,62
Koppal,Maize,Laterite,730,24.176020589847916,6.722943424389447,64
Dharwad,Paddy,Black Soil,1442,27.028150463194912,6.383734566090682,73
Belagavi,Sugarcane,Red Loamy,1061,30.60973900620176,6.341448803729088,67
Hassan,Paddy,Black Soil,1265,27.4038610548577,6.6908434827917755,78
Chikkamagalur,Arecanut,Laterite,2055,28.840875375979522,5.846469287078667,81
Hassan,Coffee,Red Sandy Loam,1948,20.146208163628454,5.061467333374836,84
Chikkamagalur,Coffee,Red Sandy Loam,1561,24.446342927665878,5.407082282355147,70
Bellary,Maize,Laterite,948,22.902375350932616,6.705882444681722,66
Kodagu,Coffee,Red Sandy Loam,2103,21.181079885862026,5.504469091257433,73
Bidar,Cotton,Black Soil,685,30.518287335341686,6.947662265479133,69
Belagavi,Cotton,Black Soil,774,26.69758498207136,7.448479762149619,58
Koppal,Pulses,Red Sandy Loam,862,25.333678381165626,6.449123413930251,72
Koppal,Pulses,Red Sandy Loam,889,29.154362032765405,6.069174190505417,72
Tumkur,Pulses,Red Sandy Loam,785,28.095285097540636,6.585194785392854,64
Dharwad,Maize,Laterite,884,24.51025714644583,6.141844397616985,63
Koppal,Paddy,Black Soil,1263,28.03149276186933,6.295709780796688,70
Dharwad,Cotton,Black Soil,676,29.433203207726987,6.878794575791883,55
Dharwad,Paddy,Black Soil,1143,32.14789645538481,5.6245581367152795,65
Belagavi,Sugarcane,Red Loamy,1149,30.103943490317555,6.579233877890732,70
Belagavi,Sugarcane,Red Loamy,1293,25.588342870945613,6.74224268493213,61
Dharwad,Maize,Laterite,1005,25.996947295990097,6.305214530128859,65
Dharwad,Maize,Laterite,809,25.26590015477039,6.280463224204652,61
Tumkur,Groundnut,Red Sandy Loam,711,26.319899141153137,6.628905144923615,60
Hassan,Coffee,Red Sandy Loam,1823,20.26637222398162,5.000364401651769,82
Udupi,Coconut,Laterite,2088,30.93883711292286,5.733609032036237,78
Shimoga,Arecanut,Laterite,1685,29.767237691598957,5.873605659534059,75
Bidar,Oilseeds,Black Soil,852,31.710541289505443,6.538980874450121,59
Dharwad,Maize,Laterite,933,25.222209074786665,6.036207261487385,71
Bidar,Pulses,Red Sandy Loam,790,25.05432766087871,6.781256953782853,64
Tumkur,Groundnut,Red Sandy Loam,731,24.825174087026888,6.943020709645737,68
Belagavi,Sugarcane,Red Loamy,1229,30.95943649917595,6.189292636539355,73
Udupi,Paddy,Black Soil,818,25.139902855624747,6.130945355318229,73
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Gulbarga,Jowar,Black Soil,553,24.41814934049277,7.028307930843935,52
Raichur,Pulses,Red Sandy Loam,920,30.160335023020686,6.8025607481516275,57
Chikkamagalur,Pepper,Laterite,1830,25.828556354778716,5.432228203666105,77
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Udupi,Paddy,Black Soil,1271,24.852916239311345,5.510182261035385,75
Chikkamagalur,Coffee,Red Sandy Loam,2384,20.723528640795347,6.486479254245028,77
Hassan,Coffee,Red Sandy Loam,1752,20.678546757707608,5.495461531335318,84
Shimoga,Arecanut,Laterite,2496,27.56157167762569,5.620250986570735,79
Mandya,Paddy,Black Soil,1263,30.819614500520643,6.37360144730191,80
Udupi,Coconut,Laterite,2090,27.25924217289079,6.436949253908695,82
Dharwad,Maize,Laterite,1045,24.040697779371186,6.127033575973232,56
Hassan,Paddy,Black Soil,1439,25.566094032145116,6.641138962580425,69
Raichur,Paddy,Black Soil,1081,29.065472134931426,5.970051541685917,76
Bidar,Pulses,Red Sandy Loam,916,30.71276988121157,6.192581632458528,56
Raichur,Pulses,Red Sandy Loam,870,25.498954636473986,6.551317390662814,59
Udupi,Arecanut,Laterite,1285,25.387093992539697,5.504504480980288,77
Bidar,Oilseeds,Black Soil,720,26.594006990815764,6.111034923023859,54
Gulbarga,Cotton,Black Soil,873,25.05314169154862,6.492104526728487,51
Raichur,Cotton,Black Soil,653,31.843286504552665,6.539871054323045,54
Bidar,Oilseeds,Black Soil,890,30.382418977668863,6.921457736216531,67
